id;placed_date;status;code;invoice_id;customer_id
1;2019-10-11T10:09:44;PENDING;Brunei Darussalam interface;compress lavender Investment Account;1
2;2019-10-11T14:59:27;CANCELLED;Frozen Analyst card;redundant;2
3;2019-10-11T10:32:21;PENDING;Chips;navigating;3
4;2019-10-11T00:20:09;COMPLETED;Optimized;microchip;4
5;2019-10-11T01:11:41;PENDING;e-markets system;Organic;5
6;2019-10-11T08:29:45;COMPLETED;leading-edge;Ergonomic Steel Gloves;6
7;2019-10-10T20:30:30;CANCELLED;online e-business;systems integrate;7
8;2019-10-11T02:15:32;PENDING;Cambridgeshire Norfolk Island;Soap Tasty Metal Sausages Outdoors;8
9;2019-10-11T02:58:51;CANCELLED;North Carolina Granite;Somalia Web revolutionize;9
10;2019-10-10T17:58:15;COMPLETED;yellow;Books Generic;10
